name,address,latitude,longitude,rating,user_ratings_total,type,state
Star Kabob,"Fair Oaks Mall J133, Fairfax",38.8622888,-77.3579837,4.7,409,Mediterranean,VA
City Kabob,"9998 Main St, Fairfax",38.8444815,-77.2913131,4.2,89,Afghan,VA
Ashburn Kabob,"42882 Truro Parish Dr STE 101, Ashburn",39.0188169,-77.5192053,4.5,564,Mediterranean,VA
Tasty Kabob,"1624 Boro Pl, Tysons",38.924783,-77.2340043,4.6,660,Afghan,VA
Arlington Kabob,"5046 Langston Blvd., Arlington",38.8961526,-77.1309492,4.7,765,Afghan,VA
Grill Kabob,"1401 K St NW Unit 101, Washington",38.9029214,-77.0323331,4.8,348,Afghan,DC
Taste of Kabab,"765 Rockville Pike Suit-H, Rockville",39.0775271,-77.1417304,4.7,150,Desi,MD
King Kabob & Gyro,"6901 Security Blvd, Windsor Mill",39.310498,-76.749904,4.7,609,Middle Eastern,MD
ZiZa Kabob,"7351 Assateague Dr # 100, Jessup",39.17003,-76.7852695,4.6,866,Afghan,MD
Grill Kabob,"8385 Leesburg Pike, Vienna",38.9217101,-77.2363235,4.5,160,Middle Eastern,VA
Kabob Zone,"1403 Old Bridge Rd, Woodbridge",38.6728254,-77.2584722,4.4,451,Desi,VA
Fairfax Kabob,"10250 Main St, Fairfax",38.8457428,-77.3006731,4.8,512,Mediterranean,VA
Famous Kabob,"9685 Liberia Ave #1740, Manassas",38.7468757,-77.4490679,3.9,273,Afghan,VA
Kabob Express,"6057 Centreville Crest Ln, Centreville",38.835888,-77.435336,4.4,796,Afghan,VA
Grill Kabob,"1028 19th St NW, Washington",38.9035234,-77.043674,4.7,467,Middle Eastern,DC
Grill Kabob Xpress,"10366 Portsmouth Rd, Manassas",38.7799227,-77.5076465,4.3,274,Afghan,VA
Grill Kabob,"1345 F St NW, Washington",38.8975613,-77.031496,4.9,227,Afghan,DC
Kabul Kabob Express,"514-A S Van Dorn St, Alexandria",38.8059495,-77.1326512,4.3,575,Afghan,VA
Dulles Kabob,"23520 Overland Dr, Sterling",38.9622222,-77.4969444,4.2,633,Afghan,VA
Grill Kabob,"1409 Research Blvd B3, Rockville",39.090728,-77.1759979,4.7,278,Afghan,MD
Kabob Palace,"2315 S Eads St, Arlington",38.8529693,-77.0533307,4,5295,Afghan,VA
Maiwand Kabob,"Columbia Crossing Shopping Center, 6131 Columbia Crossing Cir, Columbia",39.1958953,-76.8123647,4.2,756,Afghan,MD
